2025-11-03T22:30:33.000000000Z [inf]  Starting Container
2025-11-03T22:30:35.476173862Z [err]  INFO:     Will watch for changes in these directories: ['/app']
2025-11-03T22:30:35.476178839Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2025-11-03T22:30:35.476183532Z [err]  INFO:     Started reloader process [1] using WatchFiles
2025-11-03T22:30:36.053158994Z [err]  INFO:     Started server process [3]
2025-11-03T22:30:36.053167581Z [err]  INFO:     Waiting for application startup.
2025-11-03T22:30:36.404816289Z [err]  INFO:     Application startup complete.
2025-11-03T22:38:16.109461021Z [inf]  2025-11-03 22:38:13,050 - fastapi_app - INFO - Root endpoint accessed
2025-11-03T22:38:16.109484206Z [inf]  INFO:     100.64.0.2:11926 - "GET / HTTP/1.1" 200 OK
2025-11-03T22:38:16.109493797Z [inf]  INFO:     100.64.0.2:11926 - "GET /favicon.ico HTTP/1.1" 404 Not Found
2025-11-03T22:41:46.131910368Z [inf]  INFO:     100.64.0.3:54612 - "GET /a2a/therapist HTTP/1.1" 405 Method Not Allowed
2025-11-03T22:46:16.235346206Z [inf]  2025-11-03 22:46:08,237 - fastapi_app - INFO - Raw telex body: {
2025-11-03T22:46:16.235356281Z [inf]    "jsonrpc": "2.0",
2025-11-03T22:46:16.235364552Z [inf]    "id": "8c5b33df02a840c4aaa10ff48ba38110",
2025-11-03T22:46:16.235370637Z [inf]            "text": "I am feeling sad"
2025-11-03T22:46:16.235371714Z [inf]    "method": "message/send",
2025-11-03T22:46:16.235377417Z [inf]    "params": {
2025-11-03T22:46:16.235381850Z [inf]          },
2025-11-03T22:46:16.235384732Z [inf]      "message": {
2025-11-03T22:46:16.235390339Z [inf]          {
2025-11-03T22:46:16.235391284Z [inf]        "kind": "message",
2025-11-03T22:46:16.235398282Z [inf]        "role": "user",
2025-11-03T22:46:16.235399327Z [inf]            "kind": "data",
2025-11-03T22:46:16.235403805Z [inf]        "parts": [
2025-11-03T22:46:16.235407881Z [inf]            "data": [
2025-11-03T22:46:16.235411363Z [inf]          {
2025-11-03T22:46:16.235417419Z [inf]                "text": "I'm here and ready to support you! How are you feeling today?"
2025-11-03T22:46:16.235417518Z [inf]              {
2025-11-03T22:46:16.235417575Z [inf]            "kind": "text",
2025-11-03T22:46:16.235424890Z [inf]                "kind": "text",
2025-11-03T22:46:16.235432291Z [inf]                "text": "<p>Hi how are you doing?</p><p></p>"
2025-11-03T22:46:16.235434925Z [inf]              },
2025-11-03T22:46:16.235440208Z [inf]              },
2025-11-03T22:46:16.235445656Z [inf]              {
2025-11-03T22:46:16.235448261Z [inf]              {
2025-11-03T22:46:16.235452724Z [inf]                "kind": "text",
2025-11-03T22:46:16.235456828Z [inf]                "kind": "text",
2025-11-03T22:46:16.235460110Z [inf]                "text": "<p>Hi</p><p></p>"
2025-11-03T22:46:16.235468886Z [inf]              },
2025-11-03T22:46:16.235475575Z [inf]              {
2025-11-03T22:46:16.235484464Z [inf]                "kind": "text",
2025-11-03T22:46:16.236617197Z [inf]                "text": "Hello! How can I assist you today?"
2025-11-03T22:46:16.236625275Z [inf]              },
2025-11-03T22:46:16.236632471Z [inf]              {
2025-11-03T22:46:16.236635023Z [inf]          }
2025-11-03T22:46:16.236640856Z [inf]                "kind": "text",
2025-11-03T22:46:16.236648792Z [inf]                "text": "<p>Hi</p><p></p>"
2025-11-03T22:46:16.236649060Z [inf]              },
2025-11-03T22:46:16.236649496Z [inf]                "text": "Hello! It's great to connect with you. How can I help you today?"
2025-11-03T22:46:16.236656900Z [inf]              {
2025-11-03T22:46:16.236658514Z [inf]              },
2025-11-03T22:46:16.236661860Z [inf]              },
2025-11-03T22:46:16.236664978Z [inf]              {
2025-11-03T22:46:16.236668080Z [inf]                "kind": "text",
2025-11-03T22:46:16.236669000Z [inf]                "text": "Hi there! How\u2019s your day going? Anything on your mind?"
2025-11-03T22:46:16.236671704Z [inf]              {
2025-11-03T22:46:16.236673227Z [inf]                "kind": "text",
2025-11-03T22:46:16.236677144Z [inf]                "text": "Hello, I am feeling sad"
2025-11-03T22:46:16.236681467Z [inf]                "kind": "text",
2025-11-03T22:46:16.236681789Z [inf]              },
2025-11-03T22:46:16.236685951Z [inf]              }
2025-11-03T22:46:16.236690114Z [inf]                "text": "<p>Hello, I am feeling sad</p><p></p>"
2025-11-03T22:46:16.236691877Z [inf]              {
2025-11-03T22:46:16.236694213Z [inf]            ]
2025-11-03T22:46:16.236698631Z [inf]                "kind": "text",
2025-11-03T22:46:16.236703897Z [inf]                "text": "<p>Hi there</p><p></p>"
2025-11-03T22:46:16.236709629Z [inf]              },
2025-11-03T22:46:16.236714673Z [inf]              {
2025-11-03T22:46:16.236720895Z [inf]                "kind": "text",
2025-11-03T22:46:16.238022736Z [inf]        ],
2025-11-03T22:46:16.238032178Z [inf]        "metadata": {
2025-11-03T22:46:16.238039849Z [inf]          "text/plain",
2025-11-03T22:46:16.238039956Z [inf]          "telex_user_id": "019a3a68-995d-7374-8b5f-22866e1991c0",
2025-11-03T22:46:16.238040060Z [inf]        "blocking": false
2025-11-03T22:46:16.238049132Z [inf]          "telex_channel_id": "019a4be0-72f0-7d6d-b72e-2da6dd6d9dbb",
2025-11-03T22:46:16.238049169Z [inf]      }
2025-11-03T22:46:16.238050218Z [inf]          "image/png",
2025-11-03T22:46:16.238050377Z [inf]          "authentication": {
